Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Second Country,Birthplace,Other Group,Former Group
Hyungseok,Song Hyungseok,6/11/2002,YOUNITE,20/04/2022,Brand New,South Korea,,,,
Hyungseop,Ahn Hyungseop,9/08/1999,TEMPEST,2/03/2022,Yuehua,South Korea,,,HyeongseopXEuiwoong,
Hyungsik,Park Hyungsik,16/11/1991,ZE:A,7/01/2010,Star Empire,South Korea,,Yongin,,
Hyungwon,Chae Hyungwon,15/01/1994,MONSTA X,14/05/2014,Starship,South Korea,,Gwangju,,
Hyunho,Lee Hyunho,4/11/1998,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
Hyunjae,Lee Jaehyun,13/09/1997,The Boyz,31/12/2017,Cre.Ker,South Korea,,,,
Hyunji,Kim Hyunji,30/06/1992,Hash Tag,11/10/2017,LUK,South Korea,,,,
Hyunjin,Kim Hyunjin,15/11/2000,LOONA,20/08/2018,Blockberry,South Korea,,Jeonju,Loona 1/3,
Hyunjin,Hwang Hyunjin,20/03/2000,Stray Kids,25/03/2018,JYP,South Korea,,Seoul,,
Hyunjoo,Lee Hyunjoo,5/02/1998,UNI.T,18/05/2018,Unit Culture,South Korea,,Seoul,,APRIL
Hyunjun,Bae Hyunjun,6/06/2003,ATBO,27/07/2022,IST,South Korea,,Seoul,,
Hyunjun,Lee Hyunjun,21/12/1999,IZ,31/08/2017,Music K,South Korea,,,,
Hyunkyung,Kim Hyunjong,5/09/1998,Romeo,4/11/2015,CT,South Korea,,,,
Hyunmin,Byun Hyunmin,17/04/1999,,,,South Korea,,,,RAINZ
Hyunoh,Park Hyunoh,12/02/1999,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
Hyunseo,Go Hyunseo,17/06/1999,,,,South Korea,,,,G-reyish
Hyunseong,Shim Hyunseong,9/06/1993,Boyfriend,26/05/2011,Starship,South Korea,,Yeongcheon,,
Hyunseung,Jang Hyunseung,3/09/1989,,,,South Korea,,Suncheon,Troublemaker,Beast
Hyunseung,Kim Hyunseung,15/10/2002,YOUNITE,20/04/2022,Brand New,South Korea,,,,
Hyunsik,Lim Hyunsik,7/03/1992,BtoB,21/03/2012,Cube,South Korea,,Ilsan,,
Hyunsoo,Kim Hyunsoo,12/04/1995,D1CE,1/08/2019,Happyface,South Korea,,,,
Hyunsoo,Jang Hyunsoo,16/09/2003,TNX,17/05/2022,P NATION,South Korea,,Sangju,,
Hyunsuk,Yoon Hyunsuk,8/09/2001,CIX,23/07/2019,C9,South Korea,,,,
Hyunsuk,Choi Hyunsuk,21/04/1999,Treasure,7/08/2020,YG,South Korea,,Daegu,,
Hyunuk,Han Hyunuk,26/09/1994,IN2IT,27/01/2016,Star Empire,South Korea,,,,
Hyunwoo,Baek Hyunwoo,19/03/1999,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
Hyunwoo,Kim Hyunwoo,21/01/2001,TRCNG,10/10/2017,TS,South Korea,,,,
Hyunwoo,Choi Hyunwoo,4/12/2004,xikers,30/03/2023,KQ,South Korea,,Gangwon,,
Hyunwook,Ji Hyunwook,1/07/1998,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
Hyunwoong,Kim Hyunwoong,8/02/1998,14U,17/04/2017,BG,South Korea,,,,
Hyunyoung,Cho Hyunyoung,11/08/1991,Rainbow,12/11/2009,DSP,South Korea,,Seoul,Rainbow Blaxx| Rainbow Pixie,
I,Cha Yoonji,2/12/1996,,,,South Korea,,Busan,,
I.L,Kim Jiwon,1/07/1997,IRRIS,6/07/2022,Mellow,South Korea,,Daegu,,Good Day| RedSquare
I.M,Lim Changkyun,26/01/1996,MONSTA X,14/05/2014,Starship,South Korea,,Gwangju,,
I.N,Yang Jeongin,8/02/2001,Stray Kids,25/03/2018,JYP,South Korea,,Busan,,
Iaan,Yoo Dongju,22/03/2002,XUM,22/09/2020,A100,South Korea,,,,NeonPunch
Ida,Ko Chaeyoung,19/05/2000,MAJORS,9/03/2021,ANS,South Korea,,,,
Ilhoon,Jung Ilhoon,4/10/1994,BtoB,21/03/2012,Cube,South Korea,,Seoul,,
Inho,Hwang Inho,21/06/1993,IN2IT,27/01/2016,Star Empire,South Korea,,,,
Inpyo,Lee Inpyo,14/08/1995,IN2IT,27/01/2016,Star Empire,South Korea,,,,
Inseong,Jeong Inseong,1/07/1994,KNK,3/03/2016,YNB,South Korea,,,,
Inseong,Kim Inseong,12/07/1993,SF9,5/10/2016,FNC,South Korea,,,,
Insoo,Kang Insoo,10/03/1988,MYNAME,27/10/2011,H2,South Korea,,Suwon,,
Intak,Hwang Intak,31/08/2003,P1Harmony,28/10/2020,FNC,South Korea,,,,
Ireh,Cho Seoyoung,30/04/2002,Purple Kiss,15/03/2021,RBW,South Korea,,,,
Irene,Bae Juhyun,29/03/1991,Red Velvet,1/08/2014,SM,South Korea,,Daegu,Red Velvet - IRENE SEULGI,
Isa,Lee Chaeyoung,23/01/2002,STAYC,12/11/2020,Hi-Up,South Korea,,Busan,,
Isaac,Voo Isaak,12/12/1994,IN2IT,27/01/2016,Star Empire,Malaysia,,,,
Isol,,1/05/1997,Lusty,26/06/2019,babaplay,South Korea,,Seoul,,
IU,Lee Jieun,16/05/1993,,,,South Korea,,Seoul,,
Ivan,Park Yooseong,12/10/2001,Kingdom,18/02/2021,GF,South Korea,,,,
J,Lee Yeji,12/02/1998,ANS,16/09/2019,ANS,South Korea,,,,
J,Jang Yeeun,9/12/2004,STAYC,12/11/2020,Hi-Up,South Korea,,Daejeon,,
J.Min,Shin Minjung,20/11/1994,Tiny-G,23/08/2012,GNG,South Korea,,,,
J.seph,Kim Taehyung,21/06/1992,KARD,29/03/2007,DSP,South Korea,USA,,,
J.YOU,Kim Jaeyu,2/11/2000,TOO,1/04/2020,n.CH,South Korea,,,,
Jackie,Kang Chaeyeon,17/11/2001,ICHILLIN',8/09/2021,KM,USA,South Korea,Los Angeles,,
Jackson,Jackson Wang,28/03/1994,GOT7,16/01/2014,JYP,Hong Kong,,Hong Kong,,
Jacob,Bae Joonyoung,30/05/1997,The Boyz,31/12/2017,Cre.Ker,South Korea,Canada,Toronto,,
Jacob,Zhang Peng,7/09/1996,VAV,31/10/2015,A team,China,,,,
Jae,Park Jaehyung,15/09/1992,DAY6,7/09/2015,JYP,South Korea,Argentina|USA,Buenos Aires,,
Jaebin,Deung Bin,13/02/1997,VARSITY,5/01/2017,GKC,China,,Hunan,,
Jaechan,Park Jaechan,6/12/2001,Dongkiz,24/04/2019,Dongyo,South Korea,,,,
Jaehan,Kim Jaehan,1/07/1995,OMEGA X,17/10/2016,JT Corea,South Korea,,,,Spectrum
Jaehee,Lee Jaehee,18/03/2004,Weeekly,30/07/2020,Play M,South Korea,,,,
Jaeho,Kim Jaeho,17/09/1992,HISTORY,26/04/2013,LOEN,South Korea,,,,
Jaehwan,Kim Jaehwan,27/05/1996,Wanna One,7/08/2017,YMC,South Korea,,Seoul,,
Jaehyo,Ahn Jaehyo,23/12/1990,Block B,15/04/2011,KQ,South Korea,,Busan,,
Jaehyuk,Yoon Jaehyuk,23/07/2001,Treasure,7/08/2020,YG,South Korea,,,,
Jaehyun,Bong Jaehyun,4/01/1999,Golden Child,28/08/2017,Woollim,South Korea,,,,
Jaehyun,Kim Jaehyun,15/07/1994,N.Flying,20/05/2015,FNC,South Korea,,Seoul,,
Jaehyun,Jung Yoonoh,14/02/1997,NCT,9/04/2016,SM,South Korea,,Seoul,NCT U| NCT 127,
Jaejin,Lee Jaejin,17/12/1991,FTISLAND,7/06/2007,FNC,South Korea,,Cheongju,,
Jaejoong,Kim Jaejoong,26/01/1986,JYJ,8/09/2010,C-JeS,South Korea,,Gongju,,TVXQ
Jaekyung,Kim Jaekyung,24/12/1988,Rainbow,12/11/2009,DSP,South Korea,,Seoul,Rainbow Blaxx,
Jaemin,Na Jaemin,13/08/2000,NCT,9/04/2016,SM,South Korea,,,NCT Dream,
Jaemin,Shin Jaemin,8/06/1996,XEED,1/12/2022,Nature Space,South Korea,,,,
Jaeseok,Park Jaeseok,20/11/1995,,,,South Korea,,,,Golden Child
Jaeun,Ha Jaeun,28/09/1999,ARGON,11/03/2019,MSH,South Korea,,,,
Jaeyoon,Lee Jaeyoon,9/08/1994,SF9,5/10/2016,FNC,South Korea,,,,
Jaeyun,Moon Jaeyun,2/07/2002,8TURN,30/01/2023,MNH,New Zealand,South Korea,,,
Jaeyun,Lee Jaeyun,16/08/2000,TOO,1/04/2020,n.CH,South Korea,,,,
Jahan,Im Jihun,1/08/2002,Kingdom,18/02/2021,GF,South Korea,,,,
Jake,Shim Jaeyoon,15/11/2002,ENHYPEN,30/11/2020,Be:lift,South Korea,Australia,,,
Jamie,Park Jimin,5/07/1997,15&,5/10/2012,JYP,South Korea,,Junggu,,
Jane,Sung Jiyeon,20/12/1997,MOMOLAND,9/11/2016,Double Kick,South Korea,,Changwon,,
Jangjun,Lee Jangjun,3/03/1997,Golden Child,28/08/2017,Woollim,South Korea,,,,
Jay,Park Jongsung,20/04/2002,ENHYPEN,30/11/2020,Be:lift,South Korea,United States,,,
Jay,Kim Jinhwan,7/02/1994,iKON,15/09/2015,YG,South Korea,,Jeju,,
JB,Im Jaebum,6/01/1994,GOT7,16/01/2014,JYP,South Korea,,Goyang,,
Jea,Kim Hyojin,18/09/1981,Brown Eyed Girls,2/03/2006,Mystic,South Korea,,,,
Jeewon,Kim Jiwon,1/04/1999,Cignature,4/02/2020,C9,South Korea,,Busan,,Good Day
Jeff,Lee Jaeho,21/04/2005,EPEX,8/06/2021,C9,South Korea,,,,
Jehyun,Moon Jehyun,20/04/1999,OMEGA X,17/10/2016,JT Corea,South Korea,,,,1TEAM
Jei,Kim Jinhee,5/09/1989,Fiestar,31/08/2012,LOEN,South Korea,,Bucheon,,
Jen,Kim Yehyeon,27/03/1997,UNVS,23/02/2020,CHITWN,South Korea,,,,
Jenissi,Kim Taeyang,2/08/1991,,,,South Korea,,Seoul,,Topp Dogg
Jenna,Kim Minji,6/10/2006,Queenz Eye,24/10/2022,Big Mountain,South Korea,,Changwon,,
Jennie,Kim Jennie,16/01/1996,BLACKPINK,8/08/2016,YG,South Korea,,Anyang,,
Jenny,Lee Soyul,4/09/1996,,,,South Korea,,Seoul,,DIA
Jeno,Lee Jeno,23/04/2000,NCT,9/04/2016,SM,South Korea,,,NCT Dream,
Jeon Woong,Jeon Woong,15/10/1997,AB6IX,22/05/2019,Brand New,South Korea,,,,
Jeonggyu,Lim Jeonggyu,5/11/1997,7 O'clock,26/08/2014,Jungle,South Korea,,,,
Jeonghan,Yoon Jeonghan,4/10/1995,Seventeen,26/05/2015,Pledis,South Korea,,Seoul,,
Jeonghee,Go Jeonghee,11/03/2000,Favorite,5/07/2017,Astory,South Korea,,Incheon,,
Jeongkyun,Jeong Jeongkyun,27/11/1987,,,,South Korea,,,,N-Train| Bigflo
Jeongmin,Lee Jeongmin,1/02/1994,Boyfriend,26/05/2011,Starship,South Korea,,Suwon,,
Jeongseung,Park Jeongseung,20/05/2002,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
Jeonguk,Kim Jeonguk,20/03/1993,24K,6/09/2012,Choeun,South Korea,,Busan,,
Jeongwoo,Park Jeongwoo,28/09/2004,Treasure,7/08/2020,YG,South Korea,,,,
Jeongyeon,Yoo Jeongyeon,1/11/1996,Twice,20/10/2015,JYP,South Korea,,Suwon,,
Jeonyul,Jeon Yuri,20/03/1994,Stellar,28/08/2011,Pascal,South Korea,,Seoul,,
Jerome,Oh Sungmin,25/08/2001,TOO,1/04/2020,n.CH,South Korea,,,,
Jerrry,Ahn Sohyun,27/08/1992,Tahiti,23/06/2012,J-line,South Korea,,Seoul,,
Jessica,Jessica Jung,18/04/1989,,,,South Korea,,,,SNSD
Jewon,Woo Jewon,28/11/1998,NINE.i,30/03/2022,FirstOne,South Korea,,,,
J-Hoon,Lim Junghoon,15/07/1990,B.I.G,9/07/2014,GH,South Korea,,Seoul,,
J-Hope,Jung Hoseok,18/02/1994,BTS,13/06/2013,Big Hit,South Korea,,Gwangju,,
Ji Hansol,Ji Hansol,21/11/1994,Newkidd,25/04/2019,J-FLO,South Korea,,Busan,,UNB
Jia,Yoon Jia,16/01/2004,mimiimiii,27/04/2015,Midas,South Korea,,Incheon,,
Jia,Yoon Jia,16/01/2004,mimiirose,16/09/2022,YES IM,South Korea,,Incheon,,
Jia,Meng Jia,3/02/1989,miss A,1/07/2010,JYP,China,,Changja,,
Jia,Guo Jiajia,30/07/2005,TRI.BE,17/02/2021,TR - Mellow,China,,,,
Jiae,Yoo Jiae,21/05/1993,Lovelyz,17/11/2014,Woollim,South Korea,,Seoul,,
Jiae,Kim Jiae,31/10/1995,Wassup,7/08/2013,Mafia,South Korea,,,,
Jiahn,Yoo Jiahn,1/04/1992,IN2IT,27/01/2016,Star Empire,South Korea,,,,
Jian,Kim Jian,4/11/2006,,,,South Korea,,,,LIGHTSUM
Jian,Kwon Jieun,14/03/2001,LUNARSOLAR,2/09/2020,J Planet,South Korea,,,,S.E.T
Jibeom,Kim Jibeom,3/02/1999,Golden Child,28/08/2017,Woollim,South Korea,,,,
Jieun,Park Jieun,4/09/1997,,,,South Korea,,,,Purple Kiss
Jieun,Choi Jieun,3/03/2001,Bling Bling,17/11/2020,Major9,South Korea,,,,
Jieun,Song Jieun,5/05/1990,SECRET,13/10/2009,TS,South Korea,,Seoul,,
Jihan,Han Jihyo,12/07/2004,Weeekly,30/07/2020,Play M,South Korea,,,,
Jiheon,Baek Jiheon,17/04/2003,fromis_9,24/01/2018,Off The Record,South Korea,,Jeolla,,
Jiho,Kim Jiho,4/04/1997,,,,South Korea,,Okcheon,,Oh My Girl
Jiho,Jang Jiho,10/08/2004,NINE.i,30/03/2022,FirstOne,South Korea,,Gyeonggi,,
Jihoo,Lim Soojung,5/08/1998,IZ,31/08/2017,Music K,South Korea,,,,
Jihoon,Park Jihoon,14/03/2000,Treasure,7/08/2020,YG,South Korea,,Busan,,
Jihoon,Park Jihoon,29/05/1999,Wanna One,7/08/2017,YMC,South Korea,,Masan,,
Jihun,Kim Jihun,20/02/1995,KNK,3/03/2016,YNB,South Korea,,,,
Jihun,Kim Jihun,9/01/2000,TRCNG,10/10/2017,TS,South Korea,,Daegu,,
Jihyo,Lee Jihyo,22/04/2001,PRECIOUS,23/09/2020,Umi,South Korea,,Gyeonggi,,
Jihyo,Park Jisoo,1/02/1997,Twice,20/10/2015,JYP,South Korea,,Guri,,
Jihyun,Nam Jihyun,9/01/1990,4minute,15/06/2009,Cube,South Korea,,Seoul,,
Jimin,Shin Jimin,8/01/1991,,,,South Korea,,Seoul,AOA BLACK,AoA
Jimin,Park Jimin,13/10/1995,BTS,13/06/2013,Big Hit,South Korea,,Busan,,
Jimin,Won Jimin,25/11/2007,CLASS:y,5/05/2022,Universal,South Korea,,,,
Jin,Kim Seokjin,4/12/1992,BTS,13/06/2013,Big Hit,South Korea,,Gwacheon,,
JIN,Park Myungeun,12/06/1996,Lovelyz,17/11/2014,Woollim,South Korea,,Busan,,
Jin Jin,Park Jinwoo,15/03/1996,ASTRO,23/02/2016,Fantagio,South Korea,,Nowon,,
JinE,Shin Hyejin,22/01/1995,,,,South Korea,,Pohang,,Oh My Girl
Jingyu,Lee Jingyu,22/04/1998,Astin,16/11/2022,AB Creative,South Korea,,,,
Jinha,Kim Jinha,21/11/2003,TRI.BE,17/02/2021,TR - Mellow,South Korea,,,,
Jinho,Jo Jinho,17/04/1992,PENTAGON,10/10/2016,Cube,South Korea,,,,
Jinhong,Kim Jinhong,2/01/1998,24K,6/09/2012,Choeun,South Korea,,Seoul,,
Jinhoo,Kim Jinwook,2/08/1995,UP10TION,10/09/2015,TOP Media,South Korea,,Changwon,,
Jinhui,,21/11/1996,Lusty,26/06/2019,babaplay,South Korea,,Seongnam,,
Jinhwa,Choi Jinhwa,15/01/2002,BLITZERS,12/05/2021,Wuzo,South Korea,,,,
Jinju,Park Jinju,28/04/1990,,,,South Korea,,,,Wassup
Jinkwon,Kim Jinkwon,31/01/2001,Newkidd,25/04/2019,J-FLO,South Korea,,,,
Jinni,Choi Yujin,16/04/2004,,,,South Korea,,,,NMIXX
Jinny,Park Jinhee,19/01/1998,SECRET NUMBER,19/05/2020,Vine,South Korea,USA,California,,
Jinsik,Han Jinsik,30/07/2004,xikers,30/03/2023,KQ,South Korea,,Incheon,,
Jinsol,Lee Jinsol,4/12/2001,APRIL,24/08/2015,DSP,South Korea,,Andong,,
JinSoul,Jung Jinsol,13/06/1997,LOONA,20/08/2018,Blockberry,South Korea,,,Loona Odd Eye Circle| ARTMS,
Jinsung,Jung Jinsung,30/03/2002,1the9,9/02/2019,MBK,South Korea,,Seoul,,
Jinu,Kim Jinwoo,26/09/1991,WINNER,12/08/2014,YG,South Korea,,Imja,,
Jinwoo,Lee Jinwoo,13/09/2004,Ghost9,23/09/2020,Maroo,South Korea,,,TEEN TEEN,
Jinyoung,Jung Jinyoung,18/11/1991,,,,South Korea,,Chungju,,B1A4
Jinyoung,Bae Jinyoung,10/05/2000,CIX,23/07/2019,C9,South Korea,,Seoul,,Wanna One
Jinyoung,Woo Jinyoung,31/05/1997,D1CE,1/08/2019,Happyface,South Korea,,,,
Jinyoung,Park Jinyoung,22/09/1994,GOT7,16/01/2014,JYP,South Korea,,Changwon,,
Jisan,Choi Jinsang,3/11/1999,Hot Blood Youth,17/05/2017,FNC,South Korea,,,,
Jisoo,Kim Jisoo,3/01/1995,BLACKPINK,8/08/2016,YG,South Korea,,Seoul,,
Jisoo,Jung Jisoo,22/11/2003,Busters,27/11/2017,JTG,South Korea,,,,
Jisoo,Seo Jisoo,11/02/1994,Lovelyz,17/11/2014,Woollim,South Korea,,Incheon,,
Jisoo,Shin Jisoo,28/02/1994,Tahiti,23/06/2012,J-line,South Korea,,Chuncheon,,
Jisook,Kim Jisook,18/07/1990,Rainbow,12/11/2009,DSP,South Korea,,Suwon,Rainbow Pixie,
Jisu,Choi Jisu,19/01/2000,TOO,1/04/2020,n.CH,South Korea,,,,
Jisun,Roh Jisun,23/11/1998,fromis_9,24/01/2018,Off The Record,South Korea,,Seoul,,
Jisun,Hwang Jisun,17/10/1989,S#aFLA,14/07/2021,Winnerzone,South Korea,,,,Girl's Day| New F.O
Jisung,Park Jisung,5/02/2002,NCT,9/04/2016,SM,South Korea,,,NCT Dream,
Jisung,Kim Jisung,21/12/2000,TRCNG,10/10/2017,TS,South Korea,,,,
Jisung,Yoon Jisung,8/03/1991,Wanna One,7/08/2017,YMC,South Korea,,Wonju,,
Jiu,Kim Minji,17/05/1994,Dreamcatcher,13/01/2017,Happy Face,South Korea,,Daejeon,,Minx
Jiung,Choi Jiwoong,7/10/2001,P1Harmony,28/10/2020,FNC,South Korea,,,,
Jiwon,Park Jiwon,17/03/1997,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,ILUV
Jiwon,Heo Jiwon,4/09/2000,Cherry Bullet,21/01/2019,FNC,South Korea,,,,
Jiwon,Park Jiwon,20/03/1998,fromis_9,24/01/2018,Off The Record,South Korea,,Busan,,
Jiwon,Yang Jiwon,5/04/1988,UNI.T,18/05/2018,Unit Culture,South Korea,,Seoul,SPICA-S,SPICA
Jiwoo,Jeon Jiwoo,4/10/1996,KARD,29/03/2007,DSP,South Korea,,,,
Jiwoo,Kim Jiwoo,13/04/2005,NMIXX,22/02/2022,JYP,South Korea,,,,
Jiwoo,Lee Jiwoo,24/10/2005,tripleS,13/02/2023,MODHAUS,South Korea,,,,
Jiyeon,Park Jiyeon,7/06/1993,T-ara,29/07/2009,MBK,South Korea,,Seoul,,
Jiyoon,Shin Jiyoon,2/03/2002,,,,South Korea,,,,Weeekly
Jiyoon,Jeon Jiyoon,15/10/1990,4minute,15/06/2009,Cube,South Korea,,Seoul,2YOON,
Jiyoon,Woo Jiyoon,6/01/1996,Bolbbalgan4,22/04/2016,Shofar,South Korea,,Yeongju,,
Jiyoon,Jeong Jiyoon,15/09/2000,ICHILLIN',8/09/2021,KM,South Korea,,,,
Jiyou,Im Changsook,15/06/1989,Two X,20/08/2012,J. Tune,South Korea,,,,
Jiyoung,Ahn Jiyoung,14/09/1995,Bolbbalgan4,22/04/2016,Shofar,South Korea,,Yeongju,,
Jiyoung,Kang Jiyoung,18/01/1994,KARA,29/03/2007,DSP,South Korea,,Paju,,
Jiyul,Yang Jungyoon,30/07/1991,,,,South Korea,,Seoul,,Dal Shabet
JJ,Jun Jihyeok,11/12/1998,DUSTIN,6/01/2020,LPA,South Korea,,,,
JK,Kim Jikang,17/03/1998,Girlkind,16/01/2018,Nextlevel,South Korea,,,,
JM,Chu Jimin,11/10/2001,JUST B,30/06/2021,Bluedot,South Korea,,,,
J-Min,Jeon Minwook,16/10/1999,BAE173,19/11/2020,PocketDol,South Korea,,,,
Johnny,John Seo,9/02/1995,NCT,9/04/2016,SM,USA,,Chicago,NCT 127,
Johyun,Shin Jiwon,14/04/1996,Berry Good,21/05/2014,Asia Bridge,South Korea,,,,
Jongho,Choi Jongho,12/10/2000,ATEEZ,24/10/2018,KQ,South Korea,,,,
Jonghoon,Choi Jonghoon,7/03/1990,FTISLAND,7/06/2007,FNC,South Korea,,Seoul,,
Jonghwan,Jo Jonghwan,23/11/1992,100%,18/09/2012,TOP Media,South Korea,,Seoul,,
Jonghyeong,Kim Jonghyeong,13/04/2002,Dongkiz,24/04/2019,Dongyo,South Korea,,,,
Jonghyun,Lee Jonghyun,15/05/1990,CNBLUE,14/01/2010,FNC,South Korea,,Busan,,
Jonghyun†,Kim Jonghyun,8/04/1990,,,,South Korea,,Seoul,,SHINee
Jongseob,Kim Jongseob,19/11/2005,P1Harmony,28/10/2020,FNC,South Korea,,,,
Jongup,Moon Jongup,6/02/1995,B.A.P,27/01/2012,TS,South Korea,,Seoul,,
JOO,Jung Minjoo,11/10/1990,,,,South Korea,,Seoul,,
Joo E,Lee Joowon,18/08/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,Bucheon,,
JooA,Lee Juhyun,4/03/2002,Hi-L,11/08/2021,Kpop Live,South Korea,,,,
Jooan,Im Jimyoung,4/10/1996,We In The Zone,27/05/2019,Choon,South Korea,,Dongtan,,
Joochan,Hong Joochan,31/07/1999,Golden Child,28/08/2017,Woollim,South Korea,,,,
Jooheon,Lee Jooheon,6/10/1994,MONSTA X,14/05/2014,Starship,South Korea,,Daegu,,
Joohyoung,Kim Joohyoung,15/03/2003,NINE.i,30/03/2022,FirstOne,South Korea,,,,
Joonie,Park Junhee,24/05/2002,ICHILLIN',8/09/2021,KM,USA,South Korea,,,
Jooyeon,Lee Jooyeon,19/03/1987,,,,South Korea,,Seoul,,After School
Joshua,Hong Jisoo,30/12/1995,Seventeen,26/05/2015,Pledis,USA,South Korea,Los Angeles,,
Joy,Park Sooyoung,3/09/1996,Red Velvet,1/08/2014,SM,South Korea,,Jeju,,
JR,Kim Jonghyun,8/06/1995,NU'EST,15/03/2012,Pledis,South Korea,,Gangwon,NU'EST W,
Judy,Kim Dahye,16/05/1995,Blackswan,16/10/2020,DR,South Korea,,,,
Jueun,Jo Jueun,27/01/2001,ARIAZ,23/10/2019,Rising Star,South Korea,,,,
Jueun,Lee Jooeun,7/07/1995,DIA,14/07/2015,MBK,South Korea,,Suwon,BinChaenHyunSeuS,
Juhaknyeon,Ju Haknyeon,9/03/1999,The Boyz,31/12/2017,Cre.Ker,South Korea,,Jeju,,
Juhan,Hong Seunghyun,21/06/2001,BLITZERS,12/05/2021,Wuzo,South Korea,,,,
Juhyeon,Lee Juhyeon,8/04/2004,LIGHTSUM,10/06/2021,Cube,South Korea,,,,
Juhyun,Cha Juhyun,1/04/2000,Bling Bling,17/11/2020,Major9,South Korea,,,,
Juju,Park Juyoung,3/01/1996,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,Changwon,,
Jukang,Lee Hyowon,22/11/2002,JWiiver,17/02/2022,JTG,South Korea,,Daegu,,
Jun,Park Junhee,2/06/1994,A.C.E,23/05/2017,Beat,South Korea,,Jeolla,,
Jun,Weng Junhui,10/06/1996,Seventeen,26/05/2015,Pledis,China,,Shenzen,,
Jun,Lee Junyoung,22/01/1997,U-KISS,28/08/2008,NH Media,South Korea,,,,
Jun H.,Im Joonhyun,28/08/1991,UNVS,23/02/2020,CHITWN,South Korea,,,,
Jun Jin,Park Choongjae,19/08/1980,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,Seoul,,
Jun. K,Kim Minjun,15/01/1988,2PM,4/07/2008,JYP,South Korea,,Daegu,,
Ju-ne,Koo Junhoe,31/03/1997,iKON,15/09/2015,YG,South Korea,,Seoul,,
Jungah,Kim Jungah,2/08/1983,,,,South Korea,,Incheon,,After School
Junghoon,Lee Junghoon,4/07/2000,1TEAM,27/03/2019,LiveWorks,South Korea,,,,
Junghoon,Han Jeonghoon,14/02/2000,OMEGA X,17/10/2016,JT Corea,South Korea,,,,ENOi
Junghoon,Kim Junghoon,5/07/2005,xikers,30/03/2023,KQ,South Korea,,,,
Junghun,Jang Junghun,27/02/1999,Astin,16/11/2022,AB Creative,South Korea,,,,
Junghwa,Park Junghwa,8/05/1995,EXID,16/02/2012,Yedang,South Korea,,Anyang,,EXID
Junghwan,So Junghwan,18/02/2005,Treasure,7/08/2020,YG,South Korea,,,,
Jungkook,Jeon Jungkook,1/09/1997,BTS,13/06/2013,Big Hit,South Korea,,Busan,,
Jungmo,Koo Jungmo,5/02/2000,CRAVITY,14/04/2020,Starship,South Korea,,,,
Jungshin,Lee Jungshin,15/09/1991,CNBLUE,14/01/2010,FNC,South Korea,,,,
Jungwon,Yang Jungwon,9/02/2004,ENHYPEN,30/11/2020,Be:lift,South Korea,,,,
Jungwoo,Uhm Jungwoo,2/04/1999,BVNDIT,10/04/2019,MNH,South Korea,,,,
Jungwoo,Kim Jungwoo,19/02/1998,NCT,9/04/2016,SM,South Korea,,,,
Junho,Lee Junho,25/01/1990,2PM,4/07/2008,JYP,South Korea,,Ilsan,,
Junho,Cha Junho,9/07/2002,DRIPPIN,26/10/2020,Woollim,South Korea,,,,X1
Junhyeok,Kim Junhyeok,17/07/1993,,,,South Korea,,,,DAY6
Junhyeok,Cheon Junhyeok,20/09/2004,TNX,17/05/2022,P NATION,South Korea,,Gyeonggi,,
Junhyuk,Choi Junhyuk,21/04/1992,HOTSHOT,29/10/2014,Star Crew,South Korea,,Ulsan,,
Junhyuk,Lee Junhyuk,16/05/2000,Mirae,17/03/2021,DSP,South Korea,,Seoul,,
Junhyung,Son Junhyung,21/10/2000,Ghost9,23/09/2020,Maroo,South Korea,,,,
Junhyung,Yong Junyung,19/12/1989,Highlight,14/10/2009,Around Us,South Korea,,Seoul,,Beast
Junji,Kim Junhyung,6/04/1998,OnlyOneOf,28/05/2019,RSVP,South Korea,,,,
Junkyu,Kim Junkyu,9/09/2000,Treasure,7/08/2020,YG,South Korea,,,,
Junmin,Ryu Junmin,5/04/2003,ATBO,27/07/2022,IST,South Korea,,Jinju,,
Junmin,Park Junmin,24/05/2003,xikers,30/03/2023,KQ,South Korea,,Seoul,,
JunQ,Kang Junkyu,9/08/1993,MYNAME,27/10/2011,H2,South Korea,,Uljeongbu,,
Junseo,Park Junseo,28/12/2001,BAE173,19/11/2020,PocketDol,South Korea,,,,
Junseo,Hwang Junseo,16/01/2001,DKB,3/02/2020,Brave,South Korea,,,,
Junseo,Kim Junseo,20/11/2001,WEi,5/10/2020,OUI,South Korea,,Ulsan,,1the9
Junseok,Oh Junseok,3/03/2003,ATBO,27/07/2022,IST,South Korea,,Jeju,,
Junseong,Choi Junseong,29/09/2002,Ghost9,23/09/2020,Maroo,South Korea,,,,
Juntae,Kim Juntae,4/09/1995,MY.st,26/03/2020,MYStar,South Korea,,,,
